event_id,origin_time,qlat,qlon,qdep,qmag,qmagtype
10209125,2016-02-11 04:57:11.290,33.158,-115.65,2.53,1.55,Ml
10209651,2016-04-30 04:31:57.020,33.177833,-115.9735,5.34,1.48,Ml
10209811,2016-04-29 12:21:12.100,33.176,-115.975167,4.83,1.52,Ml
10209813,2016-04-29 12:19:42.420,33.178333,-115.976333,5.59,1.43,Ml
10211170,2016-04-23 13:32:17.660,33.174833,-115.977333,5.85,1.76,Ml
10211296,2016-04-22 23:33:05.580,33.143,-115.607,9.31,1.48,Ml
10211394,2016-04-22 14:00:21.720,33.290833,-115.6735,4.79,1.72,Ml
10214188,2016-04-12 03:14:26.300,32.898,-115.524667,9.76,1.99,Ml
10214792,2016-04-09 17:14:35.750,33.190167,-116.013333,5.74,2.53,Ml
10214905,2016-04-09 06:55:00.020,33.187667,-115.618833,3.85,1.44,Ml
10215036,2016-04-08 16:05:27.790,33.0505,-115.5625,7.02,2.04,Ml
10215695,2016-04-06 08:13:27.120,33.173833,-115.621167,1.57,2.22,Ml
10216759,2016-04-03 00:55:50.640,33.177833,-115.603833,3.83,1.41,Ml
10217517,2016-05-30 07:49:27.880,33.221333,-116.068333,6.65,1.7,Ml
10217631,2016-05-29 17:20:44.460,32.934833,-115.544,8.06,1.47,Ml
10217782,2016-05-29 02:36:06.820,32.957667,-115.562,9.4,1.59,Ml
10217805,2016-05-29 00:22:56.000,32.950667,-115.564167,7.95,2.01,Ml
10218312,2016-05-26 22:16:43.820,33.278333,-115.641667,2.72,1.74,Ml
10218468,2016-05-26 10:09:10.780,33.116167,-115.606167,9.58,1.51,Ml
10218594,2016-05-25 20:32:18.680,32.925,-115.529667,5.62,1.7,Ml
10218637,2016-05-25 16:44:22.430,32.9215,-115.5275,9.03,2.13,Ml
10219676,2016-05-21 06:38:58.760,33.172,-115.646667,2.85,1.58,Ml
10219678,2016-05-21 06:36:21.430,33.171167,-115.6475,3.17,1.46,Ml
10219685,2016-05-21 05:46:02.440,33.168,-115.642,3.17,1.63,Ml
10219740,2016-05-20 23:34:46.960,33.1705,-115.6555,2.05,1.59,Ml
10219753,2016-05-20 21:48:11.150,33.169833,-115.643667,2.87,2.44,Ml
10219755,2016-05-20 21:40:38.270,33.1705,-115.643833,2.79,1.94,Ml
10219759,2016-05-20 21:04:48.060,33.180667,-115.595167,0.08,1.4,Ml
10219765,2016-05-20 20:14:21.000,33.187167,-115.603833,2.26,1.58,Ml
10219766,2016-05-20 20:14:09.850,33.192833,-115.605333,3.59,1.66,Ml
10219773,2016-05-20 19:37:21.400,33.251833,-115.658,2.9,1.68,Ml
10219925,2016-05-20 02:46:47.250,33.185833,-116.039,3.36,1.53,Ml
10220169,2016-05-19 03:08:34.880,33.196333,-115.579,3.97,1.56,Ml
10220812,2016-05-16 14:54:15.160,33.242667,-115.634167,3.01,2.16,Ml
10220865,2016-05-16 11:50:36.670,33.2455,-115.635833,3.23,2.48,Ml
10220919,2016-05-16 09:11:33.140,33.247333,-115.633,3.29,1.63,Ml
10220972,2016-05-16 05:34:49.100,33.189167,-115.600833,2.26,1.42,Ml
10220992,2016-05-16 02:59:32.230,33.192167,-115.611,2.4,1.65,Ml
10220993,2016-05-16 02:55:28.230,33.190167,-115.615167,2.04,1.93,Ml
10221062,2016-05-15 21:52:42.670,33.139,-115.6485,5.89,1.55,Ml
10221076,2016-05-15 20:56:40.560,33.246333,-115.6355,2.73,1.44,Ml
10221289,2016-05-15 01:49:09.660,33.226167,-116.060833,10.72,2.18,Ml
10222092,2016-05-12 07:39:58.850,33.2425,-115.630167,3.12,1.74,Ml
10222783,2016-05-09 20:36:15.240,33.180833,-115.616333,1.54,1.44,Ml
10222896,2016-05-09 12:53:48.810,32.936833,-115.545667,8.34,1.69,Ml
10223402,2016-05-07 22:58:40.210,33.1755,-115.602667,2.41,2.72,Ml
10223568,2016-05-07 10:54:23.110,32.949,-115.54,8.05,1.55,Ml
10223941,2016-05-05 23:09:05.890,33.313667,-115.692167,4.96,1.39,Ml
10224476,2016-05-03 21:22:53.130,33.216833,-115.5665,2.82,1.86,Ml
10224492,2016-05-03 20:03:59.410,33.147333,-115.991833,8.68,1.72,Ml
10224796,2016-05-02 16:12:49.480,33.160667,-115.627333,3.32,1.6,Ml
10224856,2016-05-02 10:15:03.700,33.115333,-115.612333,8.22,1.55,Ml
10224899,2016-05-02 05:31:55.280,32.871667,-115.497833,9.31,1.63,Ml
10226292,2016-10-03 14:54:58.710,33.201833,-115.589,1.38,1.55,Ml
10226306,2016-10-03 12:39:54.430,33.2035,-115.596,1.62,1.67,Ml
10226307,2016-10-03 12:04:39.220,33.204,-115.587667,1.41,1.99,Ml
10226375,2016-10-02 23:36:58.390,33.1875,-115.938,8.81,1.49,Ml
10226396,2016-10-02 18:35:04.500,33.299167,-115.714,5.27,1.89,Ml
10226484,2016-10-02 07:47:43.590,33.144167,-115.61,6.39,1.53,Ml
10226502,2016-10-02 05:23:12.220,33.300167,-115.722333,5.26,2.07,Ml
10226523,2016-10-02 04:32:36.760,33.299833,-115.717167,5.37,1.95,Ml
10226527,2016-10-02 04:16:35.540,33.293,-115.713667,5.54,1.45,Ml
10226529,2016-10-02 04:14:07.890,33.1385,-115.612833,5.83,1.79,Ml
10226535,2016-10-02 03:10:44.060,33.138833,-115.6175,5.52,1.65,Ml
10226536,2016-10-02 03:04:57.050,33.142667,-115.613667,6.6,1.77,Ml
10226539,2016-10-02 02:59:09.450,33.295167,-115.715333,5.53,1.68,Ml
10226542,2016-10-02 02:43:53.160,33.1465,-115.606667,6.45,1.39,Ml
10226545,2016-10-02 02:16:18.730,33.301167,-115.716667,5.34,1.53,Ml
10226549,2016-10-02 01:33:05.110,33.168667,-115.589667,18.43,1.47,Ml
10226550,2016-10-02 01:32:49.750,33.292333,-115.714,8.34,1.42,Ml
10226562,2016-10-01 23:40:33.600,33.1405,-115.6145,5.02,1.45,Ml
10226574,2016-10-01 22:05:17.630,33.144,-115.608833,7.92,1.48,Ml
10226577,2016-10-01 21:34:03.820,33.145167,-115.609667,7.85,1.86,Ml
10226578,2016-10-01 21:32:50.310,33.14,-115.608667,7.25,2.01,Ml
10226579,2016-10-01 21:31:21.400,33.144833,-115.6145,7.77,2.24,Ml
10226580,2016-10-01 21:30:28.470,33.0875,-115.714333,9.52,1.85,Ml
10226581,2016-10-01 21:30:20.790,33.145333,-115.612833,6.79,1.71,Ml
10226599,2016-10-01 18:18:23.550,33.297333,-115.714833,5.35,2.03,Ml
10226700,2016-10-01 00:27:00.020,32.925333,-115.5375,7.26,1.42,Ml
10226867,2017-06-15 16:57:51.550,33.176333,-115.673833,1.12,1.39,Ml
10226898,2017-06-15 16:57:55.110,33.189,-115.635333,5.94,1.61,Ml
10227164,2017-06-16 11:57:36.650,33.177167,-115.644,4.74,1.5,Ml
10227183,2017-06-16 14:14:36.530,32.972,-115.885167,11.45,3.3,ML
10228789,2017-06-21 13:56:26.500,33.179833,-116.005167,5.06,1.67,Ml
10229337,2017-06-22 20:15:06.460,33.172,-116.116,11.36,1.49,Ml
10230234,2017-06-25 05:45:41.310,33.044833,-115.912333,2.83,1.84,Ml
10230269,2017-06-25 12:14:51.770,33.300167,-116.104667,2.25,1.56,Ml
10230410,2017-06-26 06:43:01.560,33.1855,-116.0025,3.74,1.48,Ml
10269221,2017-06-27 12:47:13.010,33.229833,-116.093,10.81,2.84,Ml
10269529,2017-06-28 02:00:55.030,33.036,-115.587667,8.04,1.6,Ml
10269546,2017-06-28 04:26:47.280,33.216833,-115.937,9.4,2.14,Ml
10270348,2017-06-30 05:37:20.030,32.8885,-115.792333,7.4,1.41,Ml
10270555,2017-06-30 23:46:00.260,33.0335,-115.5895,8.71,1.67,Ml
10270824,2017-07-02 03:18:53.590,32.939833,-115.539667,10.95,1.46,Ml
10270836,2017-07-02 04:34:24.620,33.260833,-115.793667,7.18,2.59,Ml
10271423,2017-07-03 21:40:38.910,33.2175,-115.5685,3.01,1.48,Ml
10273323,2017-07-09 03:13:32.390,32.973667,-115.5305,11.55,2.09,Ml
10273324,2017-07-09 03:28:39.080,32.964,-115.528167,10.42,1.61,Ml
10274601,2017-07-09 03:14:53.110,32.983167,-115.536167,6.66,1.6,Ml
10274980,2017-07-13 10:53:05.670,33.036833,-116.066333,3.11,1.44,Ml
10275342,2017-07-13 23:59:19.310,33.195667,-115.605167,2.16,1.75,Ml
10275350,2017-07-13 23:59:01.920,33.26,-115.657167,2.56,1.59,Ml
10276810,2017-07-18 03:15:43.210,33.211667,-115.570167,3.39,1.58,Ml
